trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
39,0,39,0,60.15119509998476,,60.139438099984545,60.15119509998476,61.150538499990944,61.150538499990944,61.50120469997637,up,1,0.3344191000214778,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
40,0,40,0,61.51689460000489,,61.50438659999054,61.51689460000489,62.516140099964105,62.516140099964105,63.10001709999051,down,1,0.5793398999958299,None,-5,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
41,0,41,0,63.11553000001004,,63.103407499962486,63.11553000001004,64.11467619996984,64.11467619996984,64.64907019998645,down,1,0.5200719999847934,None,-3,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
42,0,42,0,64.66418570000678,,64.6523673000047,64.66418570000678,65.66339120001066,65.66339120001066,66.03106020000996,up,1,0.35701849998440593,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
43,0,43,0,66.04639339999994,,66.03445129998727,66.04639339999994,67.04567019996466,67.04567019996466,67.39768910000566,up,0,0.34982909995596856,None,2,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
44,0,44,0,67.41214079997735,,67.40107580000767,67.41214079997735,68.41118300001835,68.42782609997084,68.77873189997626,up,0,0.3502975999726914,None,1,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
45,0,45,0,68.79406089999247,,68.7820694000111,68.79406089999247,69.7934122000006,69.7934122000006,70.34416269999929,down,1,0.5445540000218898,None,-5,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
46,0,46,0,70.35968850000063,,70.34746489999816,70.35968850000063,71.35873290000018,71.35873290000018,71.77630620001582,up,0,0.40620500000659376,None,1,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
47,0,47,0,71.7916054999805,,71.77961149998009,71.7916054999805,72.790945500019,72.790945500019,73.15865409997059,up,1,0.3555824999930337,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
48,0,48,0,73.17386440001428,,73.16197449999163,73.17386440001428,74.17330460000085,74.17330460000085,74.55774179997388,up,1,0.37218880001455545,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
49,0,49,0,74.57269870000891,,74.56075030000648,74.57269870000891,75.5719452999765,75.5719452999765,75.95630720001645,up,1,0.37027020001551136,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
50,0,50,0,75.97156239999458,,75.96021429996472,75.97156239999458,76.97080060001463,76.97080060001463,77.35464809997939,up,1,0.37063670001225546,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
51,0,51,0,77.37027169996873,,77.35728739999468,77.37027169996873,78.36965810001129,78.36965810001129,78.72068349999608,up,0,0.3346605999977328,None,2,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
52,0,52,0,78.73596179997548,,78.72484149999218,78.73596179997548,79.73493829998188,79.73493829998188,80.119532599987,up,0,0.38104190002195537,None,2,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
53,0,53,0,80.13455339998472,,80.12323919998016,80.13455339998472,81.13389850000385,81.13389850000385,81.51843870000448,up,0,0.3714046999812126,None,1,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
54,0,54,0,81.53365699999267,,81.52205139998114,81.53365699999267,82.53277809999418,82.53277809999418,83.01750209997408,down,1,0.4805241000140086,None,-5,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
55,0,55,0,83.03236449998803,,83.02119579998543,83.03236449998803,84.0316029000096,84.0316029000096,84.44939620001242,down,1,0.4013277000049129,None,-2,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
56,0,56,0,84.46458249998977,,84.4530359999626,84.46458249998977,85.4638095999835,85.4638095999835,85.74838060000911,up,1,0.27034320001257583,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
57,0,57,0,85.7636252999655,,85.75259240000742,85.7636252999655,86.76273809996201,86.76273809996201,87.11381780001102,up,0,0.3355681999819353,None,-5,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
58,0,58,0,87.12906339997426,,87.11703690001741,87.12906339997426,88.12824499997078,88.12824499997078,88.67834410001524,up,1,0.5368161999504082,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
59,0,59,0,88.69418940000469,,88.68040730000939,88.69418940000469,89.69356179999886,89.69356179999886,90.11122069996782,up,0,0.4101759000332095,None,4,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
60,0,60,0,90.12628590001259,,90.11489789996995,90.12628590001259,91.12548240000615,91.12548240000615,91.5097417999641,down,1,0.3826491999789141,None,-2,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
61,0,61,0,91.52509850001661,,91.5122564000194,91.52509850001661,92.52436390001094,92.52436390001094,92.87521069997456,up,1,0.3458972999942489,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
62,0,62,0,92.89078020001762,,92.87687310000183,92.89078020001762,93.89008390001254,93.89008390001254,94.50720330001786,down,1,0.6115789999603294,None,-5,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
63,0,63,0,94.52279289998114,,94.5089627999696,94.52279289998114,95.5219611999928,95.5219611999928,95.87257150001824,up,1,0.3412331999861635,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
64,0,64,0,95.88835929997731,,95.87490200001048,95.88835929997731,96.88758549996419,96.88758549996419,97.32127459999174,up,0,0.4312162999995053,None,2,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
65,0,65,0,97.33710299996892,,97.32280059996992,97.33710299996892,98.33664779999526,98.33664779999526,98.77062329999171,up,1,0.42241589998593554,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
66,0,66,0,98.78618399996776,,98.7740887000109,98.78618399996776,99.78533360001165,99.78533360001165,100.23618469998473,up,0,0.437690399994608,None,-2,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
67,0,67,0,100.2517358000041,,100.239590400015,100.2517358000041,101.25076889997581,101.25076889997581,101.91806329996325,up,0,0.6524353999993764,None,-2,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
68,0,68,0,101.93366809998406,,101.9213881000178,101.93366809998406,102.93296299997019,102.94956729997648,103.36697939998703,up,1,0.42750680004246533,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
69,0,69,0,103.38244269997813,,103.37033860001247,103.38244269997813,104.38156269997125,104.38156269997125,104.93269579997286,up,0,0.5430916000041179,None,-3,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
70,0,70,0,104.94784199999413,,104.93615530000534,104.94784199999413,105.94694270001492,105.94694270001492,106.39817469997797,up,1,0.4487512999912724,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
71,0,71,0,106.4131897999905,,106.4014606999699,106.4131897999905,107.41247789998306,107.41247789998306,107.81322630000068,up,1,0.38411369995446876,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
72,0,72,0,107.82887470000423,,107.81663459999254,107.82887470000423,108.82800149999093,108.84468619996915,109.54527230001986,up,0,0.7036163000157103,None,-5,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
73,0,73,0,109.56043010001304,,109.54888249997748,109.56043010001304,110.55974130000686,110.55974130000686,110.96072809997713,up,1,0.39019559998996556,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
74,0,74,0,110.97607460001018,,110.96400490001542,110.97607460001018,111.97550319996662,111.97550319996662,112.34306689997902,up,1,0.35952309996355325,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
75,0,75,0,112.35824420000426,,112.3464171999949,112.35824420000426,113.35760649997974,113.35760649997974,113.67527349997545,up,1,0.31285719998413697,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
76,0,76,0,113.69065770000452,,113.67878949997248,113.69065770000452,114.68975209997734,114.68975209997734,115.02421429997776,up,1,0.32316339999670163,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
77,0,77,0,115.0393938999623,,115.02745980001055,115.0393938999623,116.03869349998422,116.03869349998422,116.40646779997041,up,1,0.36528130003716797,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
78,0,78,0,116.42162089998601,,116.40984520001803,116.42162089998601,117.42098070000065,117.42098070000065,117.78928149997955,up,1,0.36655969999264926,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
79,0,79,0,117.80378869996639,,117.79341980000027,117.80378869996639,118.80293110001367,118.80293110001367,119.22080459998688,up,0,0.4062713999883272,None,-3,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
80,0,80,0,119.23615359998075,,119.2241283999756,119.23615359998075,120.23515680001583,120.23515680001583,120.61945319996448,down,0,0.3706459999666549,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
81,0,81,0,120.63489270000719,,120.62282270001015,120.63489270000719,121.63403219997417,121.63403219997417,121.96872269996675,down,1,0.332193800015375,None,-2,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
82,0,82,0,121.98376450000796,,121.97204660001444,121.98376450000796,122.9830242000171,122.9830242000171,123.31814679998206,down,0,0.3333959999727085,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
83,0,83,0,123.33256999996956,,123.32151530002011,123.33256999996956,124.33189349999884,124.33189349999884,124.61668420000933,up,0,0.28011639998294413,None,-5,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
84,0,84,0,124.63151179999113,,124.62005059997318,124.63151179999113,125.63080869999249,125.63080869999249,126.24803209997481,down,1,0.6086272000102326,None,4,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
85,0,85,0,126.26346829999238,,126.25137509999331,126.26346829999238,127.26273199997377,127.26273199997377,127.7305399000179,down,0,0.46046729997033253,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
86,0,86,0,127.74541109998245,,127.73382919997675,127.74541109998245,128.74487960000988,128.74487960000988,129.34608029999072,down,1,0.5989187000086531,None,-3,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
87,0,87,0,129.36106119997567,,129.34939429996302,129.36106119997567,130.36034089996247,130.3770244999905,130.79459030000726,down,0,0.4267935000243597,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
88,0,88,0,130.8098989999853,,130.7979089000146,130.8098989999853,131.80890020000516,131.80890020000516,132.1937259999686,down,1,0.3761371999862604,None,-3,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
89,0,89,0,132.20858729997417,,132.1970196000184,132.20858729997417,133.20789889997104,133.20789889997104,133.65863590000663,down,1,0.4451918000122532,None,1,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
90,0,90,0,133.67407060001278,,133.6640440999763,133.67407060001278,134.67338900000323,134.67338900000323,135.0408921999624,up,0,0.3538360000238754,None,2,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
91,0,91,0,135.05624020000687,,135.0448585000122,135.05624020000687,136.05565679998836,136.05565679998836,136.45635529997526,up,0,0.38483720005024225,None,2,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
92,0,92,0,136.47175600001356,,136.4595846000011,136.47175600001356,137.47105459996965,137.47105459996965,137.90555099997437,up,1,0.43192000000271946,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
93,0,93,0,137.9205775000155,,137.90918829996372,137.9205775000155,138.91995309997583,138.91995309997583,139.53727799997432,down,1,0.6096314000315033,None,4,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
94,0,94,0,139.55270439997548,,139.5406944999704,139.55270439997548,140.55191270000068,140.56853960000444,140.91948699997738,down,1,0.35371210001176223,None,4,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
95,0,95,0,140.9346646000049,,140.92276589997346,140.9346646000049,141.93398759997217,141.93398759997217,142.31837270001415,down,0,0.37668759998632595,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
96,0,96,0,142.33366060000844,,142.32224070001394,142.33366060000844,143.3328640999971,143.3328640999971,143.68400780000957,up,0,0.3467742000357248,None,-2,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
97,0,97,0,143.69914919999428,,143.68809449998662,143.69914919999428,144.69835610000882,144.69835610000882,145.31609829998342,down,1,0.6113682000432163,None,1,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
98,0,98,0,145.33099799999036,,145.31940009997925,145.33099799999036,146.330370199983,146.330370199983,146.61487659998238,up,0,0.27831439999863505,None,3,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
99,0,99,0,146.62998809997225,,146.61818330001552,146.62998809997225,147.62933690001955,147.62933690001955,148.06424550001975,up,0,0.43298739998135716,None,-2,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
