pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,routine_2.started,Fixation.started,Fixation.stopped,Line1.started,Line2.started,Line3.started,Line4.started,Probe.started,key_resp_2.started,routine_2.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
50,c,16,2,66,2,,,,,196.23373769997852,,196.21737570001278,196.23373769997852,197.2160525000072,197.2160525000072,197.2160525000072,197.2160525000072,197.24696940003196,198.22965850000037,198.22965850000037,198.34716730000218,c,1,0.10035189997870475,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
-150,z,16,3,67,3,,,,,198.36473259999184,,198.34896580001805,198.36473259999184,199.34798080002656,199.34798080002656,199.34798080002656,199.34798080002656,199.36179450002965,200.3609452000237,200.3609452000237,200.56253840000136,x,0,0.19036789995152503,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
-50,x,17,0,68,0,,,,,200.58020810002927,,200.5645472999895,200.58020810002927,201.57958900002996,201.57958900002996,201.57958900002996,201.57958900002996,201.59339699998964,202.57650580001064,202.57650580001064,202.8618667999981,v,0,0.2824129000073299,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
150,v,17,1,69,1,,,,,202.878332399996,,202.8642173000262,202.878332399996,203.87490320001962,203.87490320001962,203.87490320001962,203.87490320001962,203.87490320001962,204.87424309999915,204.87424309999915,205.14187220000895,z,0,0.2591799000510946,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
50,c,17,2,70,2,,,,,205.15918800001964,,205.14409379998688,205.15918800001964,206.15610239998205,206.15610239998205,206.15610239998205,206.15610239998205,206.15610239998205,207.1554243999999,207.1554243999999,207.3738519999897,c,1,0.21439180005108938,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
-150,z,17,3,71,3,,,,,207.3915012999787,,207.37598760001129,207.3915012999787,208.38797129999148,208.38797129999148,208.38797129999148,208.38797129999148,208.38797129999148,209.3869811000186,209.3869811000186,209.60490969999228,x,0,0.2010213999892585,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
-50,x,18,0,72,0,,,,,209.62290630000643,,209.60680090001551,209.62290630000643,210.60502810002072,210.60502810002072,210.60502810002072,210.60502810002072,210.6361528999987,211.6184985000291,211.6184985000291,211.86982690001605,v,0,0.24549430003389716,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
150,v,18,1,73,1,,,,,211.88699989998713,,211.87141660001362,211.88699989998713,212.87015710002743,212.87015710002743,212.87015710002743,212.87015710002743,212.88433129998157,213.88355800003046,213.88355800003046,213.91784970002482,z,0,0.025351500022225082,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
50,c,18,2,74,2,,,,,213.93558290001238,,213.91939759999514,213.93558290001238,214.91910020000068,214.91910020000068,214.91910020000068,214.91910020000068,214.9325978999841,215.93149170000106,215.93149170000106,216.23306020000018,c,1,0.2951458999887109,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
-150,z,18,3,75,3,,,,,216.25055360002443,,216.23488689999795,216.25055360002443,217.24725369998487,217.24725369998487,217.24725369998487,217.24725369998487,217.24725369998487,218.24600869999267,218.24600869999267,218.4817531000008,x,0,0.2276228999835439,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
