pos,corr_resp,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
50,c,1,0,4,1,6,2,26,2,2696.096076799964,,2696.080329999968,2696.096076799964,2697.079170199984,2697.079170199984,2697.079170199984,2697.079170199984,2697.0928623999935,2698.0920164000127,2698.0920164000127,2699.4419859999907,c,1,1.3382986999931745,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
-150,z,1,0,4,1,6,3,27,3,2699.460623399995,,2699.44344969996,2699.460623399995,2700.4428842999623,2700.4428842999623,2700.4428842999623,2700.4428842999623,2700.4735519000096,2701.45576859999,2701.45576859999,2701.8073613999877,x,0,0.3498884000000544,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
-50,x,1,0,4,1,7,0,28,0,2701.824942099978,,2701.8090860999655,2701.824942099978,2702.807579000015,2702.807579000015,2702.807579000015,2702.807579000015,2702.8216414999915,2703.8206032000016,2703.8206032000016,2704.455103199987,v,0,0.6291106999851763,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
150,v,1,0,4,1,7,1,29,1,2704.4729315000004,,2704.456945999991,2704.4729315000004,2705.455236400012,2705.455236400012,2705.455236400012,2705.455236400012,2705.4859547999804,2706.4685473999707,2706.4685473999707,2706.8694863999845,z,0,0.39418010000372306,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
50,c,1,0,4,1,7,2,30,2,2706.8873727999744,,2706.871238099993,2706.8873727999744,2707.870424099965,2707.870424099965,2707.870424099965,2707.870424099965,2707.883934799989,2708.883350899967,2708.883350899967,2709.3675177000114,c,1,0.47076920000836253,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
-150,z,1,0,4,1,7,3,31,3,2709.38564589998,,2709.369661099976,2709.38564589998,2710.3680445000064,2710.3680445000064,2710.3680445000064,2710.3680445000064,2710.381921699969,2711.380959299975,2711.380959299975,2713.364751599962,x,0,1.981058299948927,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
-50,x,1,0,4,1,8,0,32,0,2713.3822166000027,,2713.3666833000025,2713.3822166000027,2714.3786929000053,2714.3786929000053,2714.3786929000053,2714.3786929000053,2714.3786929000053,2715.377692000009,2715.377692000009,2719.5090891,v,0,4.117359500029124,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
150,v,1,0,4,1,8,1,33,1,2719.5267850999953,,2719.511301199964,2719.5267850999953,2720.5099707999616,2720.5099707999616,2720.5099707999616,2720.5099707999616,2720.52361699997,2721.5229805000126,2721.5229805000126,2721.840738800005,z,0,0.315700699982699,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
50,c,1,0,4,1,8,2,34,2,2721.8582300000126,,2721.8426432000124,2721.8582300000126,2722.8409162999596,2722.8409162999596,2722.8409162999596,2722.8409162999596,2722.855035000015,2723.8542949999683,2723.8542949999683,2724.172615599993,c,1,0.3063613999984227,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
-150,z,1,0,4,1,8,3,35,3,2724.189887699962,,2724.174642400001,2724.189887699962,2725.1862288999837,2725.1862288999837,2725.1862288999837,2725.1862288999837,2725.1862288999837,2726.185296599986,2726.185296599986,2727.3028230000054,x,0,1.1053471000050195,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
-50,x,1,0,4,1,9,0,36,0,2727.320962900005,,2727.3047794000013,2727.320962900005,2728.3034466999816,2728.3034466999816,2728.3034466999816,2728.3034466999816,2728.317251899978,2729.3162440999877,2729.3162440999877,2729.718168399995,c,0,0.3993832000414841,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
150,v,1,0,4,1,9,1,37,1,2729.7348542999825,,2729.720050200005,2729.7348542999825,2730.7316962999757,2730.7316962999757,2730.7316962999757,2730.7316962999757,2730.7316962999757,2731.7309549999773,2731.7309549999773,2732.06600349996,z,0,0.32603980001294985,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
50,c,1,0,4,1,9,2,38,2,2732.0830818999675,,2732.068310200004,2732.0830818999675,2733.0797321000136,2733.0797321000136,2733.0797321000136,2733.0797321000136,2733.0797321000136,2734.078615800012,2734.078615800012,2734.429963200004,v,0,0.34219369996571913,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
-150,z,1,0,4,1,9,3,39,3,2734.4479370999616,,2734.4317671000026,2734.4479370999616,2735.430645000015,2735.430645000015,2735.430645000015,2735.430645000015,2735.4447075999924,2736.4438129999908,2736.4438129999908,2738.3273201999837,x,0,1.8675974999787286,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
-50,x,1,0,4,1,10,0,40,0,2738.3450980999623,,2738.3292160999845,2738.3450980999623,2739.327470899967,2739.327470899967,2739.327470899967,2739.327470899967,2739.3415508999606,2740.3405817999737,2740.3405817999737,2740.6750762999873,v,0,0.3252892000018619,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
150,v,1,0,4,1,10,1,41,1,2740.693216099986,,2740.677080900001,2740.693216099986,2741.6756742,2741.6756742,2741.6756742,2741.6756742,2741.6896608999814,2742.6889573999797,2742.6889573999797,2743.5062626000145,z,0,0.813580300018657,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
50,c,1,0,4,1,10,2,42,2,2743.523961799976,,2743.5079635999864,2743.523961799976,2744.5067491999944,2744.5067491999944,2744.5067491999944,2744.5067491999944,2744.5203033,2745.519533499959,2745.519533499959,2746.020341399999,c,1,0.49725040001794696,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
-150,z,1,0,4,1,10,3,43,3,2746.0383759000106,,2746.022179599968,2746.0383759000106,2747.0211848999606,2747.0211848999606,2747.0211848999606,2747.0211848999606,2747.035222299979,2748.034420399985,2748.034420399985,2748.8183686999837,z,1,0.7772186000365764,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
-50,x,1,0,4,1,11,0,44,0,2748.8360692000133,,2748.820856800012,2748.8360692000133,2749.8188545000157,2749.8188545000157,2749.8188545000157,2749.8188545000157,2749.8328514999594,2750.8322442999925,2750.8322442999925,2751.5826719999895,v,0,0.7355441999970935,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
