pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,routine_2.started,Fixation.started,Line1.started,Line2.started,Line3.started,Line4.started,Fixation.stopped,Probe.started,key_resp_2.started,routine_2.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
150,v,30,1,121,1,,,,,487.6663524999749,,487.6534016999649,487.6663524999749,488.66604679997545,488.66604679997545,488.66604679997545,488.66604679997545,488.66604679997545,489.6651128999656,489.6651128999656,492.36462719994597,v,1,2.6886920999968424,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
50,c,30,2,122,2,,,,,492.37975660001393,,492.3664071999956,492.37975660001393,493.3789281999925,493.3789281999925,493.3789281999925,493.3789281999925,493.3956735000247,494.37803469994105,494.37803469994105,495.9779647999676,x,0,1.582827200065367,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
-150,z,30,3,123,3,,,,,495.99334019992966,,495.97974029998295,495.99334019992966,496.99270299996715,496.99270299996715,496.99270299996715,496.99270299996715,496.99270299996715,497.9915454000002,497.9915454000002,499.8249824999366,z,1,1.8241908000782132,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
-50,x,31,0,124,0,,,,,499.8400460999692,,499.8267946999986,499.8400460999692,500.839334600023,500.839334600023,500.839334600023,500.839334600023,500.839334600023,501.83857139991596,501.83857139991596,503.3391316999914,c,0,1.4903140999376774,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
150,v,31,1,125,1,,,,,503.35371549997944,,503.34107460000087,503.35371549997944,504.3532173000276,504.3532173000276,504.3532173000276,504.3532173000276,504.3532173000276,505.35230329993647,505.35230329993647,507.735431100009,v,1,2.3747358999680728,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
50,c,31,2,126,2,,,,,507.7504379999591,,507.7372054000152,507.7504379999591,508.7498724999605,508.7498724999605,508.7498724999605,508.7498724999605,508.7498724999605,509.74933779996354,509.74933779996354,513.5139518999495,x,0,3.7599459000630304,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
-150,z,31,3,127,3,,,,,513.529056499945,,513.5158105000155,513.529056499945,514.52859240002,514.52859240002,514.52859240002,514.52859240002,514.52859240002,515.5275062000146,515.5275062000146,517.0941886999644,z,1,1.5595387999201193,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
-50,x,32,0,128,0,,,,,517.1091629000148,,517.0959344999865,517.1091629000148,518.1084609000245,518.1084609000245,518.1084609000245,518.1084609000245,518.1084609000245,519.1077514999779,519.1077514999779,521.2411393999355,c,0,2.1209997000405565,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
150,v,32,1,129,1,,,,,521.2559835999273,,521.2429111999227,521.2559835999273,522.2550866999663,522.2550866999663,522.2550866999663,522.2550866999663,522.2550866999663,523.2547258000122,523.2547258000122,525.5043439000146,v,1,2.2372491999994963,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
50,c,32,2,130,2,,,,,525.5190891999518,,525.5061071999371,525.5190891999518,526.5182274000254,526.5182274000254,526.5182274000254,526.5182274000254,526.5182274000254,527.517564299982,527.517564299982,529.2340301999357,x,0,1.7016911000246182,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
-150,z,32,3,131,3,,,,,529.2491349999327,,529.2367178000277,529.2491349999327,530.24879959994,530.24879959994,530.24879959994,530.24879959994,530.24879959994,531.2476809999207,531.2476809999207,532.7818266999675,z,1,1.5304816000862047,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
-50,x,33,0,132,0,,,,,532.7963319999399,,532.7833523999434,532.7963319999399,533.7956947999774,533.7956947999774,533.7956947999774,533.7956947999774,533.7956947999774,534.7945444999496,534.7945444999496,537.4613604999613,c,0,2.662244600011036,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
150,v,33,1,133,1,,,,,537.4768426999217,,537.4632318000076,537.4768426999217,538.4751890000189,538.4751890000189,538.4751890000189,538.4751890000189,538.491678899969,539.4744391000131,539.4744391000131,541.3244653999573,v,1,1.841193599975668,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
50,c,33,2,134,2,,,,,541.3395650999155,,541.3261887999251,541.3395650999155,542.3387723999331,542.3387723999331,542.3387723999331,542.3387723999331,542.3387723999331,543.3378968000179,543.3378968000179,546.0866534999805,x,0,2.7357164999702945,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
-150,z,33,3,135,3,,,,,546.1022623999743,,546.0880675999215,546.1022623999743,547.1013802000089,547.1013802000089,547.1013802000089,547.1013802000089,547.1013802000089,548.100439999951,548.100439999951,549.9341599999461,z,1,1.8315135999582708,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
-50,x,34,0,136,0,,,,,549.9489437999437,,549.9359853999922,549.9489437999437,550.9483392999973,550.9483392999973,550.9483392999973,550.9483392999973,550.9483392999973,551.947722199955,551.947722199955,553.113751100027,c,0,1.1553843999281526,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
150,v,34,1,137,1,,,,,553.1296056999126,,553.1150574999629,553.1296056999126,554.1290477999719,554.1290477999719,554.1290477999719,554.1290477999719,554.1290477999719,555.1280492999358,555.1280492999358,557.4274192999583,v,1,2.2824291000142694,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
50,c,34,2,138,2,,,,,557.4426328999689,,557.4291715999134,557.4426328999689,558.4423416999634,558.4423416999634,558.4423416999634,558.4423416999634,558.4423416999634,559.4412263999693,559.4412263999693,562.2077704999829,x,0,2.759758700034581,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
-150,z,34,3,139,3,,,,,562.2224517000141,,562.2095514999237,562.2224517000141,563.2218227999983,563.2218227999983,563.2218227999983,563.2218227999983,563.2218227999983,564.2205239000032,564.2205239000032,565.7207549000159,z,1,1.489686300046742,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
