pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,line1.started,line2.started,line3.started,line4.started,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,routine_2.started,Fixation.started,Line1.started,Line2.started,Line3.started,Line4.started,Fixation.stopped,Probe.started,key_resp_2.started,routine_2.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
150,v,41,1,165,1,,,,,432.1774522999767,,432.1613585000159,432.1774522999767,433.17361050006,433.16012250003405,433.16012250003405,433.16012250003405,433.16012250003405,434.1727356000338,434.1727356000338,435.0238264000509,v,1,0.8375480000395328,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
50,c,41,2,166,2,,,,,435.04171300004236,,435.0256116000237,435.04171300004236,436.03804330003913,436.0242298999801,436.0242298999801,436.0242298999801,436.0242298999801,437.03721510001924,437.03721510001924,438.22135580005124,c,1,1.1750367000931874,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
-150,z,41,3,167,3,,,,,438.2390969999833,,438.22312099998817,438.2390969999833,439.2354114999762,439.22160520008765,439.22160520008765,439.22160520008765,439.22160520008765,440.23446230008267,440.23446230008267,440.6362251000246,z,1,0.39421350008342415,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
-50,x,42,0,168,0,,,,,440.65383149997797,,440.637946199975,440.65383149997797,441.650207699975,441.650207699975,441.650207699975,441.650207699975,441.650207699975,442.6492446999764,442.6492446999764,443.2338418000145,x,1,0.5741113000549376,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
150,v,42,1,169,1,,,,,443.25175559998024,,443.235601900029,443.25175559998024,444.2479690000182,444.2343258999754,444.2343258999754,444.2343258999754,444.2343258999754,445.2471432000166,445.2471432000166,446.04817650001496,v,1,0.7877441000891849,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
50,c,42,2,170,2,,,,,446.0661700000055,,446.0499313999899,446.0661700000055,447.0622383999871,447.0485484000528,447.0485484000528,447.0485484000528,447.0485484000528,448.0614723999752,448.0614723999752,448.9126271000132,c,1,0.8448501999955624,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
-150,z,42,3,171,3,,,,,448.93066279997583,,448.9145883000456,448.93066279997583,449.94332199997734,449.9297434000764,449.9297434000764,449.9297434000764,449.9297434000764,450.9259305000305,450.9259305000305,451.7934410000453,z,1,0.8563381999265403,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
-50,x,43,0,172,0,,,,,451.8113169000717,,451.79523400007747,451.8113169000717,452.80759700003546,452.7940549000632,452.7940549000632,452.7940549000632,452.7940549000632,453.8065579000395,453.8065579000395,454.62398730008863,x,1,0.8022026000544429,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
150,v,43,1,173,1,,,,,454.64231570006814,,454.6258743000217,454.64231570006814,455.6386690000072,455.6248641000129,455.6248641000129,455.6248641000129,455.6248641000129,456.6377974000061,456.6377974000061,457.5220915999962,v,1,0.8680059999460354,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
50,c,43,2,174,2,,,,,457.53984430001583,,457.5237387000816,457.53984430001583,458.5361727999989,458.52251660008915,458.52251660008915,458.52251660008915,458.52251660008915,459.53540529997554,459.53540529997554,460.3033282000106,c,1,0.7513143999967724,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
