image,orientation,corrAns,response.keys,response.corr,response.rt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fb 2,20,right,right,1,1.5146461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fb 1,0,left,left,1,1.8554052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN 1,0,left,left,1,1.4850541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 3,90,right,left,0,1.9928398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twitter 2,60,right,right,1,1.4181996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 4,10,right,left,0,1.6046667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twitch 2,120,right,right,1,1.5690484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adidas 1,0,left,left,1,1.7214915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adidas 2,0,right,left,0,1.6970064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ig 1,0,left,left,1,1.5607192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,169.5858029,169.5994298,172.5974312,2,1,2024-12-04_15h48.09.832,Mental Rotation,2024.1.5,None,2024-12-04 15h48.22.509588 +0530
